mes,dias_al_mes,anio,fecha,Qingresa_m3ps
1,31,1914,1/31/1914,60.00
2,28,1914,2/28/1914,3.00
3,31,1914,3/31/1914,26.00
4,30,1914,4/30/1914,35.00
5,31,1914,5/31/1914,29.00
6,30,1914,6/30/1914,19.00
7,31,1914,7/31/1914,9.00
8,31,1914,8/31/1914,7.00
9,30,1914,9/30/1914,5.00
10,31,1914,10/31/1914,11.00
11,30,1914,11/30/1914,50.00
12,31,1914,12/31/1914,8.00
1,31,1915,1/31/1915,171.40
2,28,1915,2/28/1915,58.30
3,31,1915,3/31/1915,42.20
4,30,1915,4/30/1915,49.00
5,31,1915,5/31/1915,20.90
6,30,1915,6/30/1915,10.80
7,31,1915,7/31/1915,7.10
8,31,1915,8/31/1915,4.90
9,30,1915,9/30/1915,4.20
10,31,1915,10/31/1915,7.10
11,30,1915,11/30/1915,9.60
12,31,1915,12/31/1915,19.40
1,31,1916,1/31/1916,10.50
2,28,1916,2/28/1916,19.20
3,31,1916,3/31/1916,9.70
4,30,1916,4/30/1916,9.30
5,31,1916,5/31/1916,4.50
6,30,1916,6/30/1916,4.20
7,31,1916,7/31/1916,2.60
8,31,1916,8/31/1916,1.90
9,30,1916,9/30/1916,1.90
10,31,1916,10/31/1916,1.90
11,30,1916,11/30/1916,1.90
12,31,1916,12/31/1916,4.50
1,31,1917,1/31/1917,4.80
2,28,1917,2/28/1917,14.90
3,31,1917,3/31/1917,27.30
4,30,1917,4/30/1917,31.60
5,31,1917,5/31/1917,11.20
6,30,1917,6/30/1917,5.00
7,31,1917,7/31/1917,3.70
8,31,1917,8/31/1917,4.10
9,30,1917,9/30/1917,3.50
10,31,1917,10/31/1917,9.30
11,30,1917,11/30/1917,12.70
12,31,1917,12/31/1917,10.50
1,31,1918,1/31/1918,33.50
2,28,1918,2/28/1918,103.30
3,31,1918,3/31/1918,116.90
4,30,1918,4/30/1918,4.60
5,31,1918,5/31/1918,5.20
6,30,1918,6/30/1918,4.20
7,31,1918,7/31/1918,3.00
8,31,1918,8/31/1918,2.20
9,30,1918,9/30/1918,2.70
10,31,1918,10/31/1918,21.30
11,30,1918,11/30/1918,30.10
12,31,1918,12/31/1918,81.80
1,31,1919,1/31/1919,142.60
2,28,1919,2/28/1919,107.90
3,31,1919,3/31/1919,165.00
4,30,1919,4/30/1919,49.40
5,31,1919,5/31/1919,37.30
6,30,1919,6/30/1919,17.40
7,31,1919,7/31/1919,22.40
8,31,1919,8/31/1919,7.80
9,30,1919,9/30/1919,5.90
10,31,1919,10/31/1919,21.70
11,30,1919,11/30/1919,20.11
12,31,1919,12/31/1919,61.20
1,31,1920,1/31/1920,63.10
2,28,1920,2/28/1920,70.20
3,31,1920,3/31/1920,54.50
4,30,1920,4/30/1920,19.70
5,31,1920,5/31/1920,8.60
6,30,1920,6/30/1920,6.60
7,31,1920,7/31/1920,4.90
8,31,1920,8/31/1920,4.90
9,30,1920,9/30/1920,4.20
10,31,1920,10/31/1920,6.00
11,30,1920,11/30/1920,12.00
12,31,1920,12/31/1920,17.50
1,31,1921,1/31/1921,34.70
2,28,1921,2/28/1921,19.00
3,31,1921,3/31/1921,79.50
4,30,1921,4/30/1921,49.40
5,31,1921,5/31/1921,10.80
6,30,1921,6/30/1921,6.90
7,31,1921,7/31/1921,4.50
8,31,1921,8/31/1921,4.90
9,30,1921,9/30/1921,5.40
10,31,1921,10/31/1921,30.60
11,30,1921,11/30/1921,18.90
12,31,1921,12/31/1921,50.80
1,31,1922,1/31/1922,45.90
2,28,1922,2/28/1922,64.50
3,31,1922,3/31/1922,38.50
4,30,1922,4/30/1922,42.10
5,31,1922,5/31/1922,56.40
6,30,1922,6/30/1922,25.10
7,31,1922,7/31/1922,17.20
8,31,1922,8/31/1922,9.00
9,30,1922,9/30/1922,6.90
10,31,1922,10/31/1922,39.90
11,30,1922,11/30/1922,30.10
12,31,1922,12/31/1922,76.20
1,31,1923,1/31/1923,99.30
2,28,1923,2/28/1923,42.60
3,31,1923,3/31/1923,48.20
4,30,1923,4/30/1923,47.50
5,31,1923,5/31/1923,22.80
6,30,1923,6/30/1923,8.90
7,31,1923,7/31/1923,7.10
8,31,1923,8/31/1923,5.60
9,30,1923,9/30/1923,17.00
10,31,1923,10/31/1923,9.30
11,30,1923,11/30/1923,19.70
12,31,1923,12/31/1923,29.50
1,31,1924,1/31/1924,15.70
2,28,1924,2/28/1924,14.00
3,31,1924,3/31/1924,7.80
4,30,1924,4/30/1924,16.60
5,31,1924,5/31/1924,4.10
6,30,1924,6/30/1924,3.90
7,31,1924,7/31/1924,3.40
8,31,1924,8/31/1924,2.20
9,30,1924,9/30/1924,3.90
10,31,1924,10/31/1924,15.70
11,30,1924,11/30/1924,3.90
12,31,1924,12/31/1924,22.00
1,31,1925,1/31/1925,47.00
2,28,1925,2/28/1925,80.20
3,31,1925,3/31/1925,21.30
4,30,1925,4/30/1925,15.00
5,31,1925,5/31/1925,7.10
6,30,1925,6/30/1925,5.40
7,31,1925,7/31/1925,5.60
8,31,1925,8/31/1925,4.10
9,30,1925,9/30/1925,3.90
10,31,1925,10/31/1925,7.80
11,30,1925,11/30/1925,16.60
12,31,1925,12/31/1925,29.90
1,31,1926,1/31/1926,65.70
2,28,1926,2/28/1926,33.10
3,31,1926,3/31/1926,13.80
4,30,1926,4/30/1926,18.90
5,31,1926,5/31/1926,14.20
6,30,1926,6/30/1926,11.20
7,31,1926,7/31/1926,9.00
8,31,1926,8/31/1926,9.00
9,30,1926,9/30/1926,6.20
10,31,1926,10/31/1926,5.20
11,30,1926,11/30/1926,23.50
12,31,1926,12/31/1926,54.90
1,31,1927,1/31/1927,84.80
2,28,1927,2/28/1927,28.90
3,31,1927,3/31/1927,82.90
4,30,1927,4/30/1927,29.70
5,31,1927,5/31/1927,25.70
6,30,1927,6/30/1927,13.90
7,31,1927,7/31/1927,8.60
8,31,1927,8/31/1927,12.70
9,30,1927,9/30/1927,6.90
10,31,1927,10/31/1927,10.50
11,30,1927,11/30/1927,18.50
12,31,1927,12/31/1927,35.10
1,31,1928,1/31/1928,28.40
2,28,1928,2/28/1928,74.20
3,31,1928,3/31/1928,46.30
4,30,1928,4/30/1928,19.70
5,31,1928,5/31/1928,79.90
6,30,1928,6/30/1928,31.60
7,31,1928,7/31/1928,13.40
8,31,1928,8/31/1928,10.10
9,30,1928,9/30/1928,24.70
10,31,1928,10/31/1928,76.90
11,30,1928,11/30/1928,154.30
12,31,1928,12/31/1928,102.70
1,31,1929,1/31/1929,123.20
2,28,1929,2/28/1929,28.10
3,31,1929,3/31/1929,34.30
4,30,1929,4/30/1929,18.50
5,31,1929,5/31/1929,8.60
6,30,1929,6/30/1929,6.60
7,31,1929,7/31/1929,6.00
8,31,1929,8/31/1929,3.70
9,30,1929,9/30/1929,4.20
10,31,1929,10/31/1929,4.90
11,30,1929,11/30/1929,14.70
12,31,1929,12/31/1929,9.00
1,31,1930,1/31/1930,14.60
2,28,1930,2/28/1930,46.30
3,31,1930,3/31/1930,19.80
4,30,1930,4/30/1930,48.60
5,31,1930,5/31/1930,33.60
6,30,1930,6/30/1930,15.00
7,31,1930,7/31/1930,10.50
8,31,1930,8/31/1930,9.70
9,30,1930,9/30/1930,12.70
10,31,1930,10/31/1930,34.30
11,30,1930,11/30/1930,106.50
12,31,1930,12/31/1930,45.90
1,31,1931,1/31/1931,134.80
2,28,1931,2/28/1931,203.80
3,31,1931,3/31/1931,57.50
4,30,1931,4/30/1931,23.90
5,31,1931,5/31/1931,22.40
6,30,1931,6/30/1931,15.80
7,31,1931,7/31/1931,13.80
8,31,1931,8/31/1931,11.20
9,30,1931,9/30/1931,5.80
10,31,1931,10/31/1931,17.90
11,30,1931,11/30/1931,58.60
12,31,1931,12/31/1931,57.90
1,31,1932,1/31/1932,96.70
2,28,1932,2/28/1932,63.50
3,31,1932,3/31/1932,29.10
4,30,1932,4/30/1932,69.40
5,31,1932,5/31/1932,32.50
6,30,1932,6/30/1932,18.50
7,31,1932,7/31/1932,10.10
8,31,1932,8/31/1932,8.20
9,30,1932,9/30/1932,5.40
10,31,1932,10/31/1932,23.90
11,30,1932,11/30/1932,88.30
12,31,1932,12/31/1932,68.30
1,31,1933,1/31/1933,31.00
2,28,1933,2/28/1933,55.40
3,31,1933,3/31/1933,42.20
4,30,1933,4/30/1933,17.00
5,31,1933,5/31/1933,9.00
6,30,1933,6/30/1933,6.20
7,31,1933,7/31/1933,4.50
8,31,1933,8/31/1933,1.90
9,30,1933,9/30/1933,14.70
10,31,1933,10/31/1933,13.40
11,30,1933,11/30/1933,7.30
12,31,1933,12/31/1933,30.60
1,31,1934,1/31/1934,41.00
2,28,1934,2/28/1934,22.00
3,31,1934,3/31/1934,89.50
4,30,1934,4/30/1934,30.50
5,31,1934,5/31/1934,19.50
6,30,1934,6/30/1934,11.00
7,31,1934,7/31/1934,5.50
8,31,1934,8/31/1934,4.00
9,30,1934,9/30/1934,12.00
10,31,1934,10/31/1934,23.00
11,30,1934,11/30/1934,48.00
12,31,1934,12/31/1934,56.00
1,31,1935,1/31/1935,90.50
2,28,1935,2/28/1935,19.00
3,31,1935,3/31/1935,21.50
4,30,1935,4/30/1935,6.50
5,31,1935,5/31/1935,3.00
6,30,1935,6/30/1935,3.00
7,31,1935,7/31/1935,3.00
8,31,1935,8/31/1935,2.00
9,30,1935,9/30/1935,2.00
10,31,1935,10/31/1935,8.50
11,30,1935,11/30/1935,9.00
12,31,1935,12/31/1935,16.50
1,31,1936,1/31/1936,19.50
2,28,1936,2/28/1936,28.00
3,31,1936,3/31/1936,18.50
